Year,QUARTER,Museum,Was there any event?,Visitor home location,Purpose of Visit to NI,Staying Overnight?,Dwell Time,How often do you visit this museum?,Net Promoter Score,Are you aware that National Museums NI has a Membership scheme?,Visitor Parties,What personal benefits have you gained as a result of visiting this museum?,I have learned new things,I have had an enjoyable experience,I have made good use of my free time,I have nurtured an interest,I have interacted with others,I have improved my health and wellbeing,Gender,Other Gender,Age Range,MDM - Quintiles
2022,Q2 Aug to 23 Oct 2022,Ulster Transport Museum,No,Northern Ireland,N/A,N/A,80,Last visit was more than 5 years ago,10,"No, I am not aware",Adult(s) with children,,Yes,Yes,No,No,No,No,Male,N/A,35-44,Q5 - Least Deprived
2022,Q2 Aug to 23 Oct 2022,Ulster Transport Museum,No,Northern Ireland,N/A,N/A,60,Today was my first time,10,"Yes, I am aware, but I am not a member",Adult(s) with children,,Yes,Yes,Yes,No,No,No,Female,N/A,35-44,Q1 - Most Deprived
2022,Q2 Aug to 23 Oct 2022,Ulster Transport Museum,No,Northern Ireland,N/A,N/A,60,Last visit was 3-5 years ago,10,"Yes, I am aware, but I am not a member",Adult(s) with children,,Yes,Yes,Yes,No,No,No,Female,N/A,35-44,Q4 - Less Deprived
2022,Q2 Aug to 23 Oct 2022,Ulster Transport Museum,No,Northern Ireland,N/A,N/A,90,Today was my first time,10,"Yes, I am aware, but I am not a member",Adult(s) with children,,Yes,Yes,Yes,Yes,No,No,Male,N/A,35-44,Q5 - Least Deprived
2022,Q2 Aug to 23 Oct 2022,Ulster Transport Museum,No,Northern Ireland,N/A,N/A,105,Every 2-3 months,10,"Yes, I am aware, but I am not a member",Adult(s) with children,,Yes,Yes,Yes,Yes,No,No,Male,N/A,25-34,Q3 - Average
2022,Q2 Aug to 23 Oct 2022,Ulster Transport Museum,No,Northern Ireland,N/A,N/A,60,Today was my first time,10,"Yes, I am aware, but I am not a member",Adult(s) with children,,Yes,Yes,Yes,Yes,Yes,No,Female,N/A,25-34,Q5 - Least Deprived
2022,Q2 Aug to 23 Oct 2022,Ulster Transport Museum,No,Northern Ireland,N/A,N/A,60,Once or twice a year,10,"Yes, I am aware, but I am not a member",Adult(s) with children,,Yes,Yes,Yes,Yes,Yes,Yes,Male,N/A,35-44,Q5 - Least Deprived
2022,Q2 Aug to 23 Oct 2022,Ulster Transport Museum,No,Northern Ireland,N/A,N/A,90,Last visit was more than 5 years ago,8,"No, I am not aware",Adults no children,,Yes,Yes,Yes,Yes,Yes,Yes,Male,N/A,65+,Q4 - Less Deprived
2022,Q2 Aug to 23 Oct 2022,Ulster Transport Museum,No,GB,Visiting friends and relatives,"Yes, on holiday, visiting friends or relatives",90,Monthly or more often,10,"No, I am not aware",Couple,,Yes,Yes,Yes,No,No,No,Female,N/A,55-64,N/A
2022,Q2 Aug to 23 Oct 2022,Ulster Transport Museum,No,Northern Ireland,N/A,N/A,60,Last visit was more than 5 years ago,10,"Yes, I am aware, but I am not a member",Adult(s) with children,,Yes,Yes,Yes,Yes,No,No,Male,N/A,45-54,Q1 - Most Deprived
